Total processors available: 24

Testing SIMD SSE Multiplication vs C++ Multiplication
32000000,0.14181611,0.14467987
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
32000000,0.03644796,0.03654626
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
32000000,3.89092016,3.95881438

Testing SIMD SSE Multiplication/Reduction vs C++ Multiplication/Reduction
Normal C++ Data:
Array Size,Peak Speed,Average Speed
1000,0.00000822,0.00000829
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
1000,0.00000103,0.00000104
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
1000,7.94956112,7.97139120
Normal C++ Data:
Array Size,Peak Speed,Average Speed
16000,0.00012990,0.00013054
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
16000,0.00001590,0.00001691
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
16000,8.16829681,7.71766758
Normal C++ Data:
Array Size,Peak Speed,Average Speed
31000,0.00025146,0.00025250
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
31000,0.00003154,0.00003170
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
31000,7.97354746,7.96417141
Normal C++ Data:
Array Size,Peak Speed,Average Speed
46000,0.00037355,0.00037602
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
46000,0.00004593,0.00004616
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
46000,8.13254738,8.14693451
Normal C++ Data:
Array Size,Peak Speed,Average Speed
61000,0.00049499,0.00049799
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
61000,0.00006202,0.00006235
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
61000,7.98096323,7.98709345
Normal C++ Data:
Array Size,Peak Speed,Average Speed
76000,0.00061680,0.00062040
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
76000,0.00007630,0.00007670
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
76000,8.08329773,8.08853245
Normal C++ Data:
Array Size,Peak Speed,Average Speed
91000,0.00073817,0.00074243
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
91000,0.00009258,0.00009306
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
91000,7.97318172,7.97782898
Normal C++ Data:
Array Size,Peak Speed,Average Speed
100000,0.00081181,0.00081592
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
100000,0.00009973,0.00010037
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
100000,8.13980198,8.12942123
Normal C++ Data:
Array Size,Peak Speed,Average Speed
200000,0.00162499,0.00163189
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
200000,0.00019972,0.00020144
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
200000,8.13618755,8.10097122
Normal C++ Data:
Array Size,Peak Speed,Average Speed
300000,0.00209476,0.00222770
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
300000,0.00025888,0.00026124
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
300000,8.09165096,8.52737427
Normal C++ Data:
Array Size,Peak Speed,Average Speed
400000,0.00260158,0.00276755
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
400000,0.00032024,0.00032265
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
400000,8.12397957,8.57762909
Normal C++ Data:
Array Size,Peak Speed,Average Speed
500000,0.00221912,0.00364447
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
500000,0.00026638,0.00027288
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
500000,8.33076000,13.35560799
Normal C++ Data:
Array Size,Peak Speed,Average Speed
600000,0.00254688,0.00298764
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
600000,0.00031740,0.00032034
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
600000,8.02430916,9.32638836
Normal C++ Data:
Array Size,Peak Speed,Average Speed
700000,0.00297100,0.00341499
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
700000,0.00037261,0.00037689
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
700000,7.97354221,9.06085968
Normal C++ Data:
Array Size,Peak Speed,Average Speed
800000,0.00339631,0.00344177
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
800000,0.00042494,0.00043867
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
800000,7.99251986,7.84585810
Normal C++ Data:
Array Size,Peak Speed,Average Speed
900000,0.00382002,0.00539732
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
900000,0.00047643,0.00047893
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
900000,8.01792336,11.26945400
Normal C++ Data:
Array Size,Peak Speed,Average Speed
1000000,0.00424453,0.00589916
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
1000000,0.00053168,0.00054901
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
1000000,7.98323250,10.74511909
Normal C++ Data:
Array Size,Peak Speed,Average Speed
2000000,0.00868145,0.00891698
SIMD SSE Data:
Array Size,Peak Speed,Average Speed
2000000,0.00134389,0.00145198
Speedup Data (C++ Speed / SIMD SSE Speed):
Array Size,Peak Speedup,Average Speedup
2000000,6.45993948,6.14123774
