Threads,Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1,388.558298,388.300403
Index,Sum
940,-41108.527344
941,-30869.101562
942,-47701.289062
943,-36476.644531
944,-43836.328125
945,-42811.097656
946,-46639.152344
947,-47594.109375
948,-49373.847656
949,-54860.816406
950,-50640.968750
951,-43816.492188
952,-42401.480469
953,-55503.710938
954,-53028.371094
955,-54035.964844
956,-61962.359375
957,-53662.320312
958,-46213.519531
959,-57434.542969
960,-54601.472656
961,-54147.554688
962,-59506.558594
963,-45025.875000
964,-47918.453125
965,-65039.636719
966,-57398.773438
967,-62597.500000
968,-59634.261719
969,-67456.906250
970,-50483.281250
971,-55851.871094
972,-58278.105469
973,-63788.679688
974,-47807.878906
975,-62559.156250
976,-55801.523438
977,-53464.550781
978,-51106.539062
979,-54023.218750
980,-52042.058594
981,-58127.480469
982,-45496.574219
983,-50567.664062
984,-52787.394531
985,-63324.796875
986,-47117.988281
987,-51724.750000
988,-53659.816406
989,-52004.214844
990,-58259.707031
991,-39205.871094
992,-47370.628906
993,-46372.902344
994,-46667.675781
995,-42840.140625
996,-35169.718750
997,-50461.554688
998,-45269.312500
999,-41099.000000
1000,-31626.716797
1001,-27937.156250
1002,-22528.326172
1003,-26158.939453
1004,-37447.742188
1005,-23754.746094
1006,-37891.558594
1007,-30539.435547
1008,-24079.982422
1009,-24754.314453
1010,-30367.738281
1011,-24353.279297
1012,-20638.490234
1013,-11553.102539
1014,-21795.882812
1015,-15647.378906
1016,-26098.164062
1017,-8485.791016
1018,-20249.287109
1019,-20561.751953
1020,649.651306
1021,-7129.505859
1022,-1002.215149
1023,-1786.864136
1024,2199.791016
1025,-7907.701660
1026,11686.056641
1027,3966.021973
1028,11710.256836
1029,10171.060547
1030,19270.507812
1031,15473.968750
1032,12098.243164
1033,6365.852539
1034,26225.447266
1035,15784.381836
1036,22113.236328
1037,23139.632812
1038,15922.914062
1039,26310.876953
1040,28217.365234
1041,26028.951172
1042,30220.021484
1043,36775.042969
1044,35847.195312
1045,39208.691406
1046,28407.947266
1047,31372.611328
1048,29914.103516
1049,37383.625000
1050,32672.355469
1051,36889.308594
1052,40416.785156
1053,44243.324219
1054,52689.898438
1055,47315.628906
1056,65138.707031
1057,47835.035156
1058,47696.871094
1059,52732.222656
1060,52421.714844
1061,43321.636719
1062,57375.480469
1063,72457.382812
1064,50721.292969
1065,61737.945312
1066,64520.910156
1067,57997.343750
1068,62994.402344
1069,66742.351562
1070,52992.718750
1071,61221.488281
1072,46778.101562
1073,54202.597656
1074,49975.453125
1075,57512.742188
1076,46258.113281
1077,55739.152344
1078,70353.414062
1079,56945.320312
1080,52254.292969
1081,65353.949219
1082,62467.691406
1083,46714.894531
1084,62861.027344
1085,66446.398438
