Peak Performance (Mega Loops Per Second),Average Performance (Mega Loops Per Second)
1803.031855,1801.559212
Index,Sum
1132,0.957600
1133,14.576800
1134,-41.045200
1135,69.057800
1136,-4.056800
1137,-0.413600
1138,4.342800
1139,-34.927200
1140,-27.669600
1141,10.467600
1142,-0.543400
1143,-1.749900
1144,4.881300
1145,-3.100500
1146,-53.118000
1147,75.636398
1148,-60.142597
1149,58.915195
1150,-93.187202
1151,17.015800
1152,10.549200
1153,-18.337198
1154,-5.594400
1155,-12.225600
1156,-5.886400
1157,-0.052000
1158,-0.280000
1159,23.743998
1160,-24.846399
1161,-65.338997
1162,-32.112000
1163,14.140800
1164,32.111401
1165,-15.238199
1166,10.741300
1167,-5.255400
1168,-3.898800
1169,-23.598001
1170,4.830000
1171,4.137000
1172,-59.572800
1173,21.369598
1174,12.635200
1175,-52.150002
1176,-85.574997
1177,93.496803
1178,23.708801
1179,-12.474401
1180,39.586102
1181,-12.434600
1182,-1.943400
1183,8.511600
1184,-51.208000
1185,48.987999
1186,33.761997
1187,13.821000
1188,22.465900
1189,-54.216599
1190,0.981000
1191,-0.448500
1192,-11.840400
1193,-5.583600
1194,9.136800
1195,31.946400
1196,4.732800
1197,-7.555200
1198,77.991699
1199,-78.189896
1200,57.597000
1201,-47.888000
1202,-20.401600
1203,-21.396799
1204,51.531200
1205,-37.150398
1206,-46.524799
1207,-38.739403
1208,-37.665600
1209,39.398399
1210,-20.865601
1211,18.692099
1212,-32.817596
1213,-28.916800
1214,-3.034900
1215,1.014600
1216,-0.900600
1217,4.716300
1218,-52.595699
1219,-1.233400
1220,-0.135800
1221,5.383501
1222,-33.300003
1223,-52.919998
1224,-14.552999
1225,-3.003000
1226,-13.850201
1227,-56.922802
1228,39.270000
1229,43.680000
1230,76.959999
1231,60.587502
1232,33.404999
1233,33.354000
1234,-10.660200
1235,0.700900
1236,1.466300
1237,22.642401
1238,-12.748799
1239,14.419200
1240,-37.775303
1241,-42.604103
1242,6.776000
1243,5.256000
1244,-5.913000
1245,0.027000
1246,-0.173100
1247,52.564697
1248,-53.931198
1249,11.366400
1250,1.766400
1251,-6.964400
1252,-4.239200
1253,-3.914400
1254,-22.507799
1255,-37.931599
1256,-82.224396
1257,-33.573799
1258,8.273200
1259,15.583201
1260,4.711200
1261,0.852800
1262,-5.002000
1263,6.923500
1264,-1.225800
1265,3.132000
1266,58.464001
1267,36.691200
1268,-16.962400
1269,-38.072201
1270,-16.748499
1271,-19.905500
1272,-26.508301
1273,14.660100
1274,-11.545500
1275,18.941502
1276,5.902700
1277,-2.224400
1278,-16.566799
1279,48.053699
1280,92.062805
1281,96.460403
1282,-37.736599
1283,-21.355400
1284,-52.360703
1285,75.010605
1286,-3.844600
1287,-1.156200
1288,-7.773600
1289,15.547200
1290,-25.338001
1291,10.815000
1292,17.996998
1293,-13.797700
1294,12.558001
1295,-76.596001
1296,29.754599
1297,16.543800
1298,-44.717400
1299,-81.899994
1300,68.699997
1301,-41.838299
1302,-29.901899
1303,1.080200
1304,0.699600
1305,-18.539400
1306,-10.493999
1307,-11.808000
1308,35.292801
1309,33.087002
1310,-6.457500
1311,7.475999
1312,76.753593
1313,-63.386398
1314,12.465600
1315,-19.525200
1316,90.902702
1317,76.689896
1318,-63.791698
1319,-90.309998
1320,54.230000
1321,45.799698
1322,34.465900
1323,-11.946200
1324,-13.878200
1325,29.566601
1326,-52.479000
1327,-4.360500
1328,-1.955100
1329,-20.580000
1330,0.540000
1331,-0.048600
1332,-5.221800
1333,-45.158901
1334,8.499400
1335,10.829000
1336,31.475498
1337,-21.530300
1338,5.046800
1339,7.043200
1340,21.924799
1341,5.790000
1342,1.950000
1343,0.546000
1344,-3.053400
1345,-59.395901
1346,90.033401
1347,112.624405
1348,-28.309401
1349,-25.345499
1350,59.291996
1351,4.082400
1352,-3.414600
1353,5.311600
1354,0.803600
1355,3.649000
1356,4.939500
1357,-9.723600
1358,66.138000
1359,67.044006
1360,9.235200
1361,4.815200
1362,-10.787900
1363,16.449799
1364,-20.474001
1365,25.316999
1366,31.253397
1367,-21.909599
1368,24.418800
1369,-46.284000
1370,-37.236000
1371,-12.326400
1372,-20.966400
1373,-36.199802
1374,-31.757700
1375,-0.431100
1376,-0.656100
1377,26.754301
1378,-5.578400
1379,1.565600
1380,-3.553500
1381,-1.725000
1382,0.410000
1383,7.339000
1384,-0.179000
1385,0.074400
1386,-28.830000
1387,76.802498
1388,-45.685101
1389,-0.230500
1390,-0.357000
1391,-1.285200
1392,1.522800
1393,10.236600
1394,-1.815000
1395,-14.700001
1396,73.304001
1397,-15.707999
1398,12.599999
1399,42.300003
1400,21.784500
1401,-13.719600
1402,1.021200
1403,-1.127000
1404,-26.754002
1405,4.750200
1406,-5.655000
1407,-46.735001
1408,-11.504001
1409,9.392000
1410,5.870000
1411,3.430000
1412,-15.126300
1413,5.512500
1414,4.200000
1415,16.329599
1416,32.270401
1417,29.415197
1418,-14.131700
1419,-8.421600
1420,21.621599
1421,64.946693
1422,-42.901299
1423,48.094902
1424,-18.669001
1425,14.384999
1426,53.292999
1427,4.201200
1428,-2.424600
1429,9.877999
1430,14.300000
1431,28.404999
1432,7.079400
1433,-2.316600
1434,-7.922200
1435,12.963599
1436,-14.976000
1437,44.032001
1438,-14.379200
1439,13.020700
1440,72.081100
1441,-92.675697
1442,32.040001
1443,11.040000
1444,-32.374798
1445,-19.002600
1446,-10.675800
1447,-52.522301
1448,-73.881905
1449,23.360401
